Site_Name,LATITUDE,LONGITUDE,C2H4Demand [kg/year],HCOOHDemand  [kg/year],CODemand  [kg/year],Feedstock [tCO2/year],Facility Type,Source,COMPANY,STATE,CO2CAPCOST [$/tCO2],Generation,Useful_ThermalE,elec[$/kWh]
MARQUIS ENERGY LLC,442736.2429,554997.6426,0,0,0,509289,Ethanol Plant,EPA FLIGHT,MARQUIS ENERGY LLC (100%),IL,29,0,0,0.06
"Targa Midstream Services, LLC - Mont Belvieu Complex",-864039.409,61108.32298,0,0,0,678781,NG Processing,EPA FLIGHT,TARGA RESOURCES (100%),TX,29,0,0,0.05
Ignacio Gas Plant,24394.23782,-1034292.048,0,0,0,635056,NG Processing,EPA FLIGHT,HARVEST PIPELINE CO (100%),CO,29,0,0,0.06
Yoakum Cryogenic Plant,-909734.9194,-107834.5157,0,0,0,596628,NG Processing,EPA FLIGHT,ENTERPRISE PRODUCTS PARTNERS LP (100%),TX,29,0,0,0.06
Shute Creek Facility,577449.2411,-1157120.216,0,0,0,2812881,NG Processing,EPA FLIGHT,EXXONMOBIL CORP (100%),WY,29,0,0,0.07
SOUTH CHESTER CO2 REMOVAL FACILITY,883881.7299,901302.342,0,0,0,667071,NG Processing,EPA FLIGHT,DCP MIDSTREAM LP (100%),MI,29,0,0,0.08
Archer Daniels Midland Co. - Peoria,374118.3641,535490.2972,0,0,0,495817,Ethanol Plant,EPA FLIGHT,ARCHER DANIELS MIDLAND CO (100%),IL,29,0,0,0.06
Meeker Gas Plant,337474.2482,-1038768.254,0,0,0,505717,NG Processing,EPA FLIGHT,ENTERPRISE PRODUCTS PARTNERS LP (100%),CO,29,0,0,0.07
VAL VERDE TREATER,-19679.18502,-1054982.251,0,0,0,667808,NG Processing,EPA FLIGHT,VAL VERDE GAS GATHERING CO LP (100%),NM,29,0,0,0.06
Milagro Gas Plant,-19239.49679,-1053715.905,0,0,0,648441,NG Processing,EPA FLIGHT,HARVEST PIPELINE CO (100%),NM,29,0,0,0.06
EUNICE NATURAL GAS PROCESSING PLANT,-779997.3863,332457.8493,0,0,0,156524,NG Processing,EPA FLIGHT,ENLINK MIDSTREAM LLC (100%),LA,29,0,0,0.04
CHIEF ETHANOL FUELS INC,348102.5388,-194612.0235,0,0,0,166067,Ethanol Plant,EPA FLIGHT,CHIEF INDUSTRIES INC (100%),NE,29,0,0,0.08
Promix Fractionation Facility,-824124.4119,471355.6884,0,0,0,153556,NG Processing,EPA FLIGHT,DOW CHEMICAL (50%); ENTERPRISE PRODUCTS PARTNERS LP (50%),LA,29,0,0,0.05
Magnolia Amine Plant,-581556.134,253162.6439,0,0,0,267224,NG Processing,EPA FLIGHT,ENABLE MIDSTREAM PARTNERS LP (100%),LA,29,0,0,0.05
"Valero Renewable Fuels Campany LLC, dba Valero Albion Plant",469752.3337,-163810.695,0,0,0,188638,Ethanol Plant,EPA FLIGHT,VALERO ENERGY CORP (100%),NE,29,0,0,0.09
VALERO RENEWABLE FUELS LLC,760884.1333,-57066.47486,0,0,0,191624,Ethanol Plant,EPA FLIGHT,VALERO ENERGY CORP (100%),SD,29,0,0,0.08
VALERO ALBERT CITY PLANT,591295.0142,86035.6501,0,0,0,176238,Ethanol Plant,EPA FLIGHT,VALERO ENERGY CORP (100%),IA,29,0,0,0.06
HOMELAND ENERGY SOLUTIONS LLC,629669.0241,311169.1221,0,0,0,255115,Ethanol Plant,EPA FLIGHT,HOMELAND ENERGY SOLUTIONS LLC (100%),IA,29,0,0,0.07
FLINT HILLS RESOURCES LLC - FAIRBANK ETHANOL PLANT,582100.2116,324117.1003,0,0,0,178223,Ethanol Plant,EPA FLIGHT,KOCH INDUSTRIES INC (100%),IA,29,0,0,0.07
Bluestone Gas Processing Plant,481691.1773,1325853.819,0,0,0,135563,NG Processing,EPA FLIGHT,MPLX LP (100%),PA,29,0,0,0.07
"FLINT HILLS RESOURCES SHELL ROCK, LLC.",591385.7376,275292.3147,0,0,0,175082,Ethanol Plant,EPA FLIGHT,KOCH INDUSTRIES INC (100%),IA,29,0,0,0.07
Clear Lake Amine Plant,-585313.3446,232450.34,0,0,0,295091,NG Processing,EPA FLIGHT,ENABLE MIDSTREAM PARTNERS LP (100%),LA,29,0,0,0.07
ANDERSONS ALBION ETHANOL LLC,587295.0926,916672.1753,0,0,0,221845,Ethanol Plant,EPA FLIGHT,THE ANDERSONS INC (53.08%); MARATHON PETROLEUM CO LP (42.94%); HOME GROWN FUELS (3.98%),MI,29,0,0,0.08
LAS TIENDAS PLANT,-1059690.369,-256155.7659,0,0,0,140284,NG Processing,EPA FLIGHT,ENERGY TRANSFER PARTNERS LP (100%),TX,29,0,0,0.05
Bison Treating Facility,786877.5991,-783222.9564,0,0,0,156752,NG Processing,EPA FLIGHT,ANADARKO PETROLEUM CORP (100%),WY,29,0,0,0.07
Cana Gas Plant,-218027.8368,-188657.7569,0,0,0,194788,NG Processing,EPA FLIGHT,ENLINK MIDSTREAM LLC (100%),OK,29,0,0,0.05
ANDERSONS CLYMERS ETHANOL LLC,401022.1604,799874.3472,0,0,0,189300,Ethanol Plant,EPA FLIGHT,MARATHON PETROLEUM CO LP (60.01%); THE ANDERSONS INC (38.18%); CHICAGO RIVER MARKETING LLC (1.81%),IN,29,0,0,0.08
THARALDSON ETHANOL PLANT I LLC,1050934.376,-96678.3241,0,0,0,256731,Ethanol Plant,EPA FLIGHT,THARALDSON ETHANOL PLANT I LLC (100%),ND,29,0,0,0.08
"GOLDEN GRAIN ENERGY, LLC",631602.9927,224144.3526,0,0,0,160358,Ethanol Plant,EPA FLIGHT,GOLDEN GRAIN ENERGY LLC (100%),IA,29,0,0,0.07
Mont Belvieu Fractionators,-853450.8728,105245.7914,0,0,0,264446,NG Processing,EPA FLIGHT,ENERGY TRANSFER PARTNERS LP (100%),TX,29,0,0,0.05
OHL NGLP Mont Belvieu NGL Fractionation and Storage Complex,-852500.7114,107461.0537,0,0,0,232320,NG Processing,EPA FLIGHT,ONEOK INC (100%),TX,29,0,0,0.05
MBI NGLP Mont Belvieu Plant,-853396.2853,106992.0058,0,0,0,206015,NG Processing,EPA FLIGHT,ONEOK INC (80%); PHILLIPS 66 (10%); SPECTRA ENERGY (10%),TX,29,0,0,0.05
Gulf Coast Fractionators,-852983.4021,104495.0887,0,0,0,196490,NG Processing,EPA FLIGHT,DEVON ENERGY CORP (38.75%); TARGA RESOURCES (38.75%); PHILLIPS 66 (22.5%),TX,29,0,0,0.05
Roadrunner Gas Processing Plant,-552942.4118,-759456.8114,0,0,0,222271,NG Processing,EPA FLIGHT,unknown,NM,29,0,0,0.06
"LITTLE SIOUX CORN PROCESSORS, LLC",595924.902,19438.93812,0,0,0,173940,Ethanol Plant,EPA FLIGHT,LITTLE SIOUX CORN PROCESSORS LLC (100%),IA,29,0,0,0.06
"Pennsylvania Grain Processing, LLC",530543.4348,1457631.194,0,0,0,166395,Ethanol Plant,EPA FLIGHT,PENNSYLANIA GRAIN PROCESSING LLC (100%),PA,29,0,0,0.11
Glacial Lakes Energy,825672.0433,-87942.50638,0,0,0,177967,Ethanol Plant,EPA FLIGHT,GLACIAL LAKES CORN PROCESSORS (100%),SD,29,0,0,0.07
SEMINOLE GAS PROCESSING PLANT,-508649.8205,-621845.5019,0,0,0,475485,NG Processing,EPA FLIGHT,HESS CORP (100%),TX,29,0,0,0.05
"Copano Energy Houston Central Plant, TX",-877846.4077,-69647.50403,0,0,0,344349,NG Processing,EPA FLIGHT,KINDER MORGAN INC (100%),TX,29,0,0,0.06
Thunder Creek Gas Services Buckshot Gas Plant,631757.2377,-780657.1595,0,0,0,152426,NG Processing,EPA FLIGHT,THUNDER CREEK GAS SERVICES LLC (100%),WY,29,0,0,0.07
Targa Midstream Services LLC - Sandhills Gas Plant,-648559.6633,-627834.6297,0,0,0,155327,NG Processing,EPA FLIGHT,TARGA RESOURCES (100%),TX,29,0,0,0.05
Kenedy Gas Plant,-973659.1219,-197012.2479,0,0,0,171553,NG Processing,EPA FLIGHT,ENERGY TRANSFER PARTNERS LP (100%),TX,29,0,0,0.05
ANDERSONS MARATHON ETHANOL LLC,347090.6517,961997.7294,0,0,0,185866,Ethanol Plant,EPA FLIGHT,THE ANDERSONS INC (50%); MARATHON PETROLEUM CO LP (25%); MARATHON PETROLEUM CO LP (25%),OH,29,0,0,0.09
ONE EARTH ENERGY LLC,358530.6576,638587.4955,0,0,0,200299,Ethanol Plant,EPA FLIGHT,ONE EARTH ENERGY LLC (100%),IL,29,0,0,0.04
BIG RIVER UNITED ENERGY LLC,568693.7729,395140.1936,0,0,0,174108,Ethanol Plant,EPA FLIGHT,BIG RIVER RESOURCES LLC (50.5%); UNITED COOPERATIVE (34%); RUMBOLD & KUHN INC (15.5%),IA,29,0,0,0.07
BIG RIVER RESOURCES WEST BURLINGTON LLC,383096.0868,399160.1921,0,0,0,155999,Ethanol Plant,EPA FLIGHT,BIG RIVER RESOURCES LLC (100%),IA,29,0,0,0.07
Converse Central Facility,-617351.2628,218122.901,0,0,0,217261,NG Processing,EPA FLIGHT,THE WILLIAMS COS (100%),LA,29,0,0,0.07
North DeSoto Central Facility,-585460.1242,219857.623,0,0,0,167928,NG Processing,EPA FLIGHT,THE WILLIAMS COS (100%),LA,29,0,0,0.07
Springridge South Compressor Station,-591099.8138,196896.5171,0,0,0,162573,NG Processing,EPA FLIGHT,THE WILLIAMS COS (100%),LA,29,0,0,0.07
"TALCO Midstream Assets, LTD. - Holly Common Point #3 Compressor Station",-594424.5582,214614.2201,0,0,0,154226,NG Processing,EPA FLIGHT,AZURE MIDSTREAM ENERGY LLC (100%),LA,29,0,0,0.07
Armstrong Gas Plant,-932875.8889,-101205.1162,0,0,0,173073,NG Processing,EPA FLIGHT,ENTERPRISE PRODUCTS PARTNERS LP (100%),TX,29,0,0,0.08
Sherwood Gas Plant,304793.3152,1302576.464,0,0,0,136682,NG Processing,EPA FLIGHT,MPLX LP (100%),WV,29,0,0,0.07
AL CORN CLEAN FUEL,736780.7541,238145.3554,0,0,0,139329,Ethanol Plant,EPA FLIGHT,AL-CORN CLEAN FUEL (100%),MN,29,0,0,0.08
ABERDEEN ENERGY LLC,891336.3961,-217993.8431,0,0,0,194154,Ethanol Plant,EPA FLIGHT,GLACIAL LAKES CORN PROCESSORS (100%),SD,29,0,0,0.08
"BARGATH, INC.- PARACHUTE",288424.0691,-1029424.89,0,0,0,250260,NG Processing,EPA FLIGHT,THE WILLIAMS COS (100%),CO,29,0,0,0.07
GOLDSMITH GAS PLANT,-595358.2006,-623557.0386,0,0,0,297399,NG Processing,EPA FLIGHT,DCP MIDSTREAM LP (100%),TX,29,0,0,0.05
"Big Escambia Creek Gas Production, Treating and Processing Facility (BEC)	",-681033.6654,820515.5602,0,0,0,298112,NG Processing,EPA FLIGHT,ESCAMBIA ASSET CO LLC (78.14%); LP 224 LLC (5.587576%); QUANTUM RESOURCES MANAGEMENT LLC (3.239535%); RESOURCE STRATEGIES (2.196%); RUDY RESOURCES LP (1.8079%); PENSARELI INC (1.188213%),AL,29,0,0,0.07
GIDDINGS GAS PLANT,-832667.1751,-95103.19902,0,0,0,135814,NG Processing,EPA FLIGHT,DCP MIDSTREAM LP (100%),TX,29,0,0,0.07
Valero Bloominburg Plant,306069.0151,1069724.843,0,0,0,195518,Ethanol Plant,EPA FLIGHT,VALERO ENERGY CORP (100%),OH,29,0,0,0.1
Valero Renewable Fuels LLC Charles City,631203.0264,263527.6483,0,0,0,191552,Ethanol Plant,EPA FLIGHT,VALERO ENERGY CORP (100%),IA,29,0,0,0.06
BURLINGTON RESOURCES_LOST CABIN,703517.1472,-934596.4875,0,0,0,228924,NG Processing,EPA FLIGHT,BURLINGTON RESOURCES OIL & GAS CO LP (46.07%); MONCRIEF PARTNERS LP (4.848777%); WA MONCRIEF JR (30.017982%); OXY Y-1 / RIO DE VIENTO INC (2.40702%); ELK PETROLEUM LTD (13.599419%); EXXONMOBIL CORP (1.055989%),WY,29,0,0,0.07
OHL NGLP Medford Plant,-79598.19727,-155193.246,0,0,0,190736,NG Processing,EPA FLIGHT,ONEOK INC (100%),OK,29,0,0,0.05
LOUIS DREYFUS COMMODITIES GRAND JUNCTION LLC,512213.2862,144793.4703,0,0,0,168850,Ethanol Plant,EPA FLIGHT,Louis Dreyfus Co LLC (100%),IA,29,0,0,0.07
AUX SABLE LIQUID PRODUCTS INC,464308.5451,637718.4749,0,0,0,306757,NG Processing,EPA FLIGHT,AUX SABLE (100%),IL,29,0,0,0.06
Thompsonville Gas Plant,-1136220.782,-292402.871,0,0,0,160761,NG Processing,EPA FLIGHT,ENTERPRISE PRODUCTS PARTNERS LP (100%),TX,29,0,0,0.06
"FLINT HILLS RESOURCES MENLO, LLC",451961.619,134016.1521,0,0,0,169710,Ethanol Plant,EPA FLIGHT,KOCH INDUSTRIES INC (100%),IA,29,0,0,0.06
"Pacific Aurora, LLC",379491.4519,-170985.4082,0,0,0,226964,Ethanol Plant,EPA FLIGHT,PACIFIC AURORA LLC (100%),NE,29,0,0,0.08
"Green Plains Wood River, LLC.",374566.4887,-218109.5973,0,0,0,159732,Ethanol Plant,EPA FLIGHT,GREEN PLAINS RENEWABLE ENERGY INC (100%),NE,29,0,0,0.08
"Flint Hills Resources Iowa Falls, LLC",564021.9432,222077.0321,0,0,0,153565,Ethanol Plant,EPA FLIGHT,KOCH INDUSTRIES INC (100%),IA,29,0,0,0.07
Hopedale Fractionation Facility,417763.3174,1263499.202,0,0,0,272269,NG Processing,EPA FLIGHT,MPLX LP (100%),OH,29,0,0,0.09
PATRIOT RENEWABLE FUELS LLC,452441.0544,507898.7686,0,0,0,193796,Ethanol Plant,EPA FLIGHT,PATRIOT RENEWABLE FUELS LLC (100%),IL,29,0,0,0.06
BIG RIVER RESOURCES GALVA LLC,426914.0266,497171.4165,0,0,0,172009,Ethanol Plant,EPA FLIGHT,BIG RIVER RESOURCES LLC (100%),IL,29,0,0,0.06
EAST VEALMOOR GAS PLANT,-545808.3534,-499967.5311,0,0,0,146021,NG Processing,EPA FLIGHT,WTG GAS PROCESSING LP (100%),TX,29,0,0,0.05
Alamo Gas Plant,-694879.417,45568.92933,0,0,0,167920,NG Processing,EPA FLIGHT,ENERGY TRANSFER PARTNERS LP (100%),TX,29,0,0,0.05
ROCK CREEK GAS PLANT,-190746.5463,-485186.8568,0,0,0,142415,NG Processing,EPA FLIGHT,DCP MIDSTREAM LP (100%),TX,29,0,0,0.04
Green Plains Lakota LLC,660246.488,149409.3453,0,0,0,147121,Ethanol Plant,EPA FLIGHT,GREEN PLAINS RENEWABLE ENERGY INC (100%),IA,29,0,0,0.07
PLAQUEMINE GAS PLANT,-799808.1772,457436.6454,0,0,0,137233,NG Processing,EPA FLIGHT,ENLINK MIDSTREAM LLC (100%),LA,29,0,0,0.06
Plaquemine NGL Fractionation Plant,-799492.2953,456847.5937,0,0,0,134286,NG Processing,EPA FLIGHT,ENLINK MIDSTREAM LLC (100%),LA,29,0,0,0.06
FLINT HILLS RESOURCES ARTHUR LLC,541260.9355,53831.53713,0,0,0,174439,Ethanol Plant,EPA FLIGHT,KOCH INDUSTRIES INC (100%),IA,29,0,0,0.07
Jackson County Gas Plant,-936180.6182,-52696.16833,0,0,0,231582,NG Processing,EPA FLIGHT,ENERGY TRANSFER PARTNERS LP (100%),TX,29,0,0,0.05
"California Resources Elk Hills, LLC - Gas Processing and Power Generation",4509.230223,-2086702.937,0,0,0,150795,NG Processing,EPA FLIGHT,CALIFORNIA RESOURCES CORP (100%),CA,29,0,0,0.11
Chisholm Plant,-191824.6606,-156010.6681,0,0,0,152220,NG Processing,EPA FLIGHT,DEVON ENERGY CORP (100%),OK,29,0,0,0.05
King Ranch Gas Plant,-1115580.661,-204371.8524,0,0,0,247489,NG Processing,EPA FLIGHT,ENERGY TRANSFER PARTNERS LP (100%),TX,29,0,0,0.05
DISCOVERY PRODUCER SERVICES LLC - LAROSE GAS PROCESSING PLANT,-871832.4341,542656.0226,0,0,0,135895,NG Processing,EPA FLIGHT,THE WILLIAMS COS (60%); DCP MIDSTREAM LP (40%),LA,29,0,0,0.05
Arkansas Loop & Simpson Treating Plants,14229.25194,-1035617.768,0,0,0,294049,NG Processing,EPA FLIGHT,SOUTHERN UTE INDIAN TRIBE (51%); KINDER MORGAN INC (49%),CO,29,0,0,0.06
Florida River Gas Processing Facility,25641.07799,-1033688.117,0,0,0,164465,NG Processing,EPA FLIGHT,BP AMERICA INC (100%),CO,29,0,0,0.06
WILCOX GAS PLANT,-910761.1921,-66054.78633,0,0,0,148052,NG Processing,EPA FLIGHT,DCP MIDSTREAM LP (100%),TX,29,0,0,0.06
ZIA II GAS PLANT,-513408.2024,-727655.2431,0,0,0,333628,NG Processing,EPA FLIGHT,DCP MIDSTREAM LP (100%),NM,29,0,0,0.06
Red Hills Gas Processing Plant,-563610.5271,-704878.3381,0,0,0,309119,NG Processing,EPA FLIGHT,LUCID ENERGY DELAWARE (100%),NM,29,0,0,0.06
LINAM RANCH GAS PLANT,-511468.7812,-678520.0805,0,0,0,275483,NG Processing,EPA FLIGHT,DCP MIDSTREAM LP (100%),NM,29,0,0,0.06
Targa Midstream Services LLC - Eunice Gas Processing Plant,-542367.8651,-668065.1539,0,0,0,152140,NG Processing,EPA FLIGHT,TARGA RESOURCES (100%),NM,29,0,0,0.06
DCP MIDSTREAM - EUNICE GAS PLANT,-531610.1027,-679748.5289,0,0,0,137150,NG Processing,EPA FLIGHT,DCP MIDSTREAM LP (100%),NM,29,0,0,0.06
Opal Gas Plant,568295.2181,-1179185.619,0,0,0,309709,NG Processing,EPA FLIGHT,THE WILLIAMS COS (100%),WY,29,0,0,0.07
Lobo Processing Plant,-614839.6573,-707485.8965,0,0,0,170070,NG Processing,EPA FLIGHT,ENLINK MIDSTREAM LLC (100%),TX,29,0,0,0.05
Majorsville Gas Plant,382599.9937,1304886.856,0,0,0,149101,NG Processing,EPA FLIGHT,MPLX LP (100%),WV,29,0,0,0.07
VALERO WELCOME PLANT,690888.8246,113857.452,0,0,0,180544,Ethanol Plant,EPA FLIGHT,VALERO ENERGY CORP (100%),MN,29,0,0,0.07
MCFS-CONWAY FRACTIONATOR,99880.37255,-158615.636,0,0,0,176729,NG Processing,EPA FLIGHT,THE WILLIAMS COS (50%); PHILLIPS 66 (40%); ONEOK PARTNERS LP (10%),KS,29,0,0,0.08
Wild Basin Gas Processing and Crude Handling Facility,1176693.428,-541764.001,0,0,0,143808,NG Processing,EPA FLIGHT,OASIS PETROLEUM (100%),ND,29,0,0,0.07
"Copano Field Services/North Texas, Saint Jo Processing Plant Montague, TX",-431865.3559,-149998.7259,0,0,0,265103,NG Processing,EPA FLIGHT,KINDER MORGAN INC (100%),TX,29,0,0,0.04
"Flint Hills Resources Camilla, LLC",-637518.2175,1121834.356,0,0,0,164617,Ethanol Plant,EPA FLIGHT,KOCH INDUSTRIES INC (100%),GA,29,0,0,0.07
ABSOLUTE ENERGY LLC,675719.5441,248139.9339,0,0,0,169933,Ethanol Plant,EPA FLIGHT,ABSOLUTE ENERGY LLC (100%),IA,29,0,0,0.08
Onshore Treating Facility,-758649.11,748682.6828,0,0,0,183980,NG Processing,EPA FLIGHT,EXXONMOBIL CORP (100%),AL,29,0,0,0.06
Valero Linden Plant,339002.7379,765861.0186,0,0,0,198256,Ethanol Plant,EPA FLIGHT,VALERO ENERGY CORP (100%),IN,29,0,0,0.08
Nacogdoches Amine and Dehydration Plant,-671012.5686,128831.0886,0,0,0,163647,NG Processing,EPA FLIGHT,unknown,TX,29,0,0,0.05
Robeline Plant,-649462.9028,252601.3486,0,0,0,351932,NG Processing,EPA FLIGHT,ENABLE MIDSTREAM PARTNERS LP (100%),LA,29,0,0,0.06
GREEN PLAINS OBION LLC,-114093.7975,609133.3208,0,0,0,164606,Ethanol Plant,EPA FLIGHT,GREEN PLAINS RENEWABLE ENERGY INC (100%),TN,29,0,0,0.06
Valero Hartley Plant,636453.5317,39977.0948,0,0,0,178857,Ethanol Plant,EPA FLIGHT,VALERO ENERGY CORP (100%),IA,29,0,0,0.06
SHOUP GAS PROCESSING AND FRACTIONATION PLANT,-1079712.027,-155552.7456,0,0,0,202936,NG Processing,EPA FLIGHT,ENTERPRISE PRODUCTS PARTNERS LP (100%),TX,29,0,0,0.05
CHS-Rochelle,513119.3261,573402.6303,0,0,0,195249,Ethanol Plant,EPA FLIGHT,CHS INC (100%),IL,29,0,0,0.07
EAST TEXAS GAS PLANT,-592577.1739,163065.533,0,0,0,171964,NG Processing,EPA FLIGHT,DCP MIDSTREAM LP (100%),TX,29,0,0,0.06
YATES GAS PLANT,-721561.9774,-564121.0467,0,0,0,136673,NG Processing,EPA FLIGHT,KINDER MORGAN INC (100%),TX,29,0,0,0.05
Targa Midstream Services LLC - Venice Gas Processing Plant,-899508.6642,642822.0265,0,0,0,180797,NG Processing,EPA FLIGHT,TARGA RESOURCES (100%),LA,29,0,0,0.05
INDIAN SPRINGS GAS PLANT,-752488.7545,124118.4247,0,0,0,145222,NG Processing,EPA FLIGHT,ENTERPRISE PRODUCTS PARTNERS LP (75%); EAGLE ROCK ENERGY PARTNERS LP (25%),TX,29,0,0,0.07
"Valero Renewable Fuels Company, LLC d/b/a Valero Mt. Vernon Plant",78824.56819,706636.3766,0,0,0,177986,Ethanol Plant,EPA FLIGHT,VALERO ENERGY CORP (100%),IN,29,0,0,0.07
Green Plains Mount Vernon LLC,76796.12806,719996.946,0,0,0,137422,Ethanol Plant,EPA FLIGHT,GREEN PLAINS RENEWABLE ENERGY INC (100%),IN,29,0,0,0.07
"POET Biorefining-Cloverdale, LLC",267172.4694,781002.6324,0,0,0,137307,Ethanol Plant,EPA FLIGHT,POET LLC (100%),IN,29,0,0,0.08
